Name	RepresentID
箭弩台	61203
炮台	61205
炮弹	61206
司晴	61207
自爆僵尸	61208
分身僵尸	61209
天山弟子	61210
天山弟子	61211
天山弟子	61212
天山弟子	61213
德夯	61214
司徒一一	61215
狼牙弓箭手	61216
狼牙首领	61217
苦力	61218
狼牙监工	61219
狼牙守卫	61220
曲云	61221
独孤云	61222
柳随风	61223
曲云	61224
柳静海	61225
李令霞	61226
李令霞	61227
李令霞	61228
地陷	61229
狼牙弓手	61230
石斑	61231
火石	61232
石斑势大力沉	61233
狼牙守卫(作废)	61234
狼牙巡逻兵	61235
分身	61236
分身僵尸	61237
司晴的宝箱	61238
幽寒境	61239
德夯	61240
天山弟子	61241
剑域	61247
血量平衡	61248
总控	61249
结束控制	61250
狼牙伏击者	61254
转阶段地爆	61255
旋转爆裂球	61258
天地玄幻雷	61259
御龙兵甲	61260
飞石	61261
修理机甲	61262
激光发射器	61263
雷光	61264
投石车	61265
火弹	61266
独孤九	61267
柳静海	61268
御龙兵甲废弃	61269
狼牙守卫	61787
独孤九	61272
曲云	61273
天山弟子	61275
技能控制_天	61276
技能控制_地人	61277
狂暴控制	61278
石斑喷射	61279
火焰	61280
铁石	61282
狼牙铁卫	61283
李令霞增伤距离控制	61398
李令霞移形控制	61399
宝箱	61484
蜘蛛机器人	58682
