Name	RepresentID
南诏宫殿卫兵	30832
南诏皇家刀卫	30833
南诏皇家枪卫	30834
南诏皇家弓兵	30835
大殿巡逻兵	30836
青城派弟子	30837
司空苒	30838
未知人物	30839
原明教暗卫	30840
原明教弟子	30841
南王钢枪侍	30842
南王神弓侍	30843
宫廷神射手	30844
老鼠	30845
天龙寺遗留僧人	30846
北院摔角武士	30847
北院拳斗士	30848
南诏文臣	30849
强体天竺僧	30850
烈焰迦兰僧	30851
南诏嫔妃	30852
阁罗鸿	30853
泰崇傣	30854
段宗公	30855
萧沙	30856
萧沙	30031
萧沙	30032
萧沙	30033
王遗风	30857
谢渊	30858
莫雨	30859
穆玄英	30860
摩提耶罗	30861
智慧王	30862
阁逻凤	30863
阁逻凤	30139
星宿老仙	30864
青城派弟子	30865
霹雳堂堂主	30866
蛮王	30867
宠臣紮木	30868
李倓	30869
陈和尚	30870
康雪烛	30871
柳公子	30872
剑圣	30873
方乾	30874
柳五爷	30875
可人	30876
无名	30877
李复	30878
浩气盟中将	30879
恶人谷领头	30880
木桌	30881
石柱	30882
暗箭发射孔	30883
回旋机关	30884
铁旋刃	30885
死亡潜伏者	30886
红莲煌球弹	30887
钢枪风切弹	30888
余芳水	30889
木尔达	30890
南宫猛虎	30891
南宫狮王	30892
浩气盟神射手	30893
恶人谷猎头者	30894
浩气盟快刀客	30895
恶人谷狼王	30896
浩气盟林枪卫	30897
恶人谷豪枪侍	30898
浩气盟铁甲卫	30899
恶人谷抵御者	30900
酒桶	30901
木台架	30902
美玲	30903
联合统领将军	30904
王义城	30905
联合强弩射生	30906
联合机关士	30907
龙枪抛投者	30908
虎矛断骑卫	30909
白牙骁骑兵	30910
南防药物兵	30911
铁壁防御军	30912
摔角霸王	30913
南诏御王枪兵	30914
南诏刀锋队	30915
南诏城守弓队	30916
南诏骑兵队	30917
蛮族盾卫	30918
蛮族巫医	30919
青城派弟子	30920
毒尸巨将	30921
活屍傀体	30922
狂骑队正	30923
王牌射手	30924
战场军犬	30925
驯兽师	30926
天策精英斥候	30927
枯荣大师总控	30928
六脉神剑总控	30929
枯荣大师	30930
段永安	30931
段风荷	30932
段玉	30933
段平南	30934
段灵	30935
段俭魏	30936
南国壮士	30937
刽子手	30938
破碎的物件	30939
南王狂刀侍	30940
段宗公	30941
泰崇傣	30942
阁逻鸿	30943
阁逻鸿	29998
泰拳手	30944
枪斧兵	30945
枪斧卫统帅	30946
红球	30947
绿球	30948
枪斧兵引导者	30949
泰拳引导者	30950
P1小怪、球体刷新总控 （挂起）	30951
阁逻鸿 	30952
阁逻鸿 	30953
阁逻鸿	30954
破损的石座	30955
破损的石柱	30956
破损的石栏	30957
破损的石灯	30958
龙象气劲	30959
李复	30960
范围总控	30961
八部气劲	30962
八部气劲	32189
五毒女孩 	30963
冰雪霜皇气场	30964
冰雪霜皇气场	32190
迦楼罗炎劲气场	30965
陈和尚	30966
康雪烛	30967
舞女	30968
小猫	30969
柳公子	30970
摩提耶罗总控	30971
莫雨	30972
摩提耶罗	30973
轰雷	30974
莫雨吸收火球控制	30975
佛嗔之焰	30976
阶段控制	30977
摩提耶罗梵音控制	30978
梵音阶段共振控制	30979
大钟	30980
梵音	30981
梵音	30982
小猫	30983
梵音全场控制	30984
李复	30985
剧情控制	30986
佛嗔之焰	30987
猎头射生	30988
太祖长拳控制	30989
龙爪功轰雷控制	30990
火云掌技能控制	30991
真气窜动	30992
乱窜	30993
曹雪阳	30994
炽热的盔甲残片	30995
天策府侍卫	30996
火正御神枪	30997
慧鸣	30998
慧智	30999
咕噜	31000
狮子吼技能控制	31001
寒冰碎片控制	31002
毒口	31003
萧沙（爆衣版）	31004
天竺和尚在哪	31005
易筋经释放控制	31006
天竺僧	31007
天竺僧	31008
阿雪	31009
此佛彼佛	31010
人肉火锅	31011
寺院守卫	31012
寺院守卫	31013
表现总控	31014
段慎思	31015
破碎的桌子	31016
破碎的椅子	31017
柳公子	31018
柳公子	31019
枯荣大师	31020
少商剑特效	31021
商阳剑特效	31022
中冲剑特效	31023
关冲剑特效	31024
少冲剑特效	31025
少泽剑特效	31026
狼魂	31027
破碎的桌椅	31028
破碎的桌椅	30570
侍	31029
标记	31030
少商剑	31031
商阳剑	31032
中冲剑	31033
关冲剑	31034
少冲剑	31035
少泽剑	31036
摩提耶罗和莫雨打斗释放	31037
天竺僧	31038
天竺僧	31039
冰棺	31040
落石	31041
战斗中对话总控	31042
阁罗鸿骑马空手	31043
朱剑秋	31044
阿飞	31045
天策谍报兵	31046
二阶段棋局减益	31047
一阶段棋局增益	31048
阁罗鸿骑马武器	31049
南诏刀斧卫	31050
南诏铁枪卫	31051
南诏长弓手	31052
南诏恶尸	31053
南诏骑兵卫	31054
南诏铁盾兵	31055
步兵营百夫长	31056
骠骑营百夫长	31057
天一教控尸者	31058
长弓营百夫长	31059
阁逻鸿	31060
军阵调试用	31061
皇宫御军统领	32296
毒机关	31062
狂沙子弹特效	31063
王大石	31064
肉毒地藏	31065
段氏皇族	31066
原明教夜行者	31067
摩呼罗迦标识	31068
边界标识NPC	31069
玄天气劲标识圈	31070
宝箱	32247
最终埋伏圈	31071
污毒残留物	31072
巫毒	31073
柳公子	31074
康雪烛	31075
陈和尚	31076
枯荣大师	31077
分身总控	31078
象棋棋谱	31079
象棋总控	31080
血刀	31081
象棋测试	31082
恐怖处刑人	31083
宝箱	31084
毒口	31085
运输车	31086
隐形陷阱	31087
狼魂	32180
小猫	31088
剑圣的影	31089
雪魔化莫雨	31090
段氏小皇子	31091
象棋计时	31092
可人	31093
画卷	31094
血刀	31095
烤鸡	31096
小老鼠	31097
时机	31098
老鼠	31099
双龙	31100
双龙	30641
骄阳	31101
骄阳	30643
歌女	31102
歌女	30645
石柱	31103
萧沙	31104
少年	31105
少女	31106
刀头	31107
阁罗鸿马下武器	32156
南诏王宝箱	32240
古箱宝物	32251
金箱宝物	32252
段东恩	32287
受伤的情报兵	32294
南诏宝箱	32310
宫廷神射手	32484
散射弩手	33089
隐匿者	31067
肉毒地藏	32503
狱炎杀圈	32507
血刀飞墨·鹰	32637
血刀飞墨·虎	32638
血刀飞墨·蛙	32639
段云峰	32641
段云景	32721
李倓	32825
毒圈	33079
金龙	33321
金龙	33615
金龙	33336
金龙	33616
华丽的铜镜	33191
华丽的铜镜	33193
散射弩手	33080
宫廷神射手	33081
滚石	33072
李倓	33082
宫廷卫兵	33085
李复	33086
莫雨	33087
莫雨	33088
皇妃	33090
侍女	33091
战斗总控	33097
滚石	33098
狙击手总控	33099
王遗风	33103
中心点	33194
宝箱	33392
剑圣	30873
开锁	33377
李复	33376
段复蒙	31066
