Name	RepresentID
圣女侍女	39727
弥漫	39728
白色能量体	39729
麟火	39730
滚石	39731
毒虫	39732
毒虫	39370
落石	39733
王翦	39734
弓箭俑	40057
黑色能量体	39736
能量球控制	39737
弩俑	39738
戟俑	39739
剑俑	39740
刷兵俑控制	39741
安禄山总控	39742
一阶段杀怪界面及阶段控制	39743
狼牙方士	39744
安禄山	39745
安禄山	39293
安庆绪	39746
无名	39747
亡者气息控制	39748
亡者气息	39749
亡者气息	39641
长明灯	39750
带盾剑俑	39751
带盾剑俑	39752
圆弧真气	39753
安禄山冲撞和疯狂踩踏控制	39754
安禄山普通踩踏控制	39755
阳炎气劲	39756
清风	39757
盗墓者尸体	39759
剑盾俑	39760
战车俑	39761
石麒麟	39762
钉子板	39763
步兵俑	39764
持戟俑	39765
持弩俑	39766
刷怪总控	39767
狼牙禁卫军队正	39768
狼牙禁卫军精锐	39769
门闩	39770
银月宝箱	40097
宝箱	40096
切割机	40094
新建数据11	39775
新建数据12	39776
新建数据13	39777
新建数据14	39778
新建数据15	39779
新建数据16	39780
新建数据17	39781
新建数据18	39782
蓝色气劲	39784
不祥的黑蛇	39785
死亡诅咒控制	39786
古剑	39787
令狐伤	39788
地狱之隙	39792
地狱之隙	39288
巨盾石俑	39795
岚尘剑	39797
龙剑	39798
车俑	39799
车俑	39800
探雪	39801
古尸蝮蛇	39802
古尸毒蝎	39803
古尸剧毒	39804
怪蛇刷出点	39805
岚剑	39806
谷剑	39807
冬剑	39808
火花提示1	39809
火花提示2	39810
火花提示3	39811
圣女偏色_蓝	39812
圣女偏色_绿	39813
圣女偏色_黑	39814
圣女偏色_白	39815
柱子着火模型	39816
安禄山的宝箱	39817
擎天兵俑巨像	39818
真火气场	39819
火花	39823
将俑	40001
插剑	39825
落石	39826
滚木	40003
瘴气	39829
毒雾	40004
玩家坐标记录	39831
燕不孙	39832
马车上的安禄山	39834
墓地怪鼠	39835
垂死的狼牙兵	39836
垂死的狼牙兵	39540
时间的车轮	39837
血迹	39838
血迹	39575
柱子	39839
弩箭	39840
上官寅	39841
姬月	39842
燕不孙	39843
广文	39844
广武	39845
狼牙士兵	39846
孑孑	39847
安庆恩	39848
扶风	39849
令狐伤	39850
安禄山	39851
地龙剑吼	39852
令狐伤	39853
金蛇剑风	39854
盘蛇剑影	39855
令狐伤	39856
令狐伤	39857
兰无求	39858
于常山	39859
太初陵社成员	39860
太初陵社成员	39619
油渍	39861
安禄山的战车	39862
狼牙士兵	39863
狼牙士兵	39652
狼牙队长	39864
盗墓贼	39865
战车	40005
弓箭俑	39867
长戟俑	40006
盘蛇气弹	39869
古旧的宝箱	39870
白龙剑风	39871
司徒一一	40007
丘秋	40008
虚龙剑	40017
腾云	40066
宝箱	40086
宝箱	40129
宝箱	40123
宝箱	40124
盗墓贼	39865
