Name	RepresentID
哥舒翰	55856
夺魂惊龙枪	55858
黑齿元佑	55862
蜘蛛	55863
毒花	55864
潜行蜘蛛	55865
刷蜘蛛控制	55866
刷毒花控制	55867
黑齿技能控制	55868
黑齿总控	55869
协防判断控制	55870
英招	55872
英招	55873
蛞蝓	55874
安庆绪	55875
安庆绪	55876
安庆绪	55877
安庆绪	55878
蜘蛛	55886
蜘蛛卵	55887
联军士兵	55888
天策士兵	55895
狼牙俘虏	55896
苍云士兵	55897
燕忆眉	55898
李承恩	55899
李复	55900
曹雪阳	55901
李无衣	55902
长孙忘情	55903
罗天	55904
天策守卫士兵	55905
苍云守卫士兵	55906
蜘蛛	55907
狼牙长弓手	55908
狼牙长枪手	55909
狼牙精英守卫	55910
狼牙长弓手	55911
狼牙刀盾兵	55912
狼牙长枪手	55913
宝箱	55914
对话控制	55915
蜘蛛守卫打斗控制	55916
邵益	55919
赵嵩权	55920
狼牙军官	55921
狼牙副官	55922
狼牙悍将	55923
狼牙斗将	55924
狼牙城卫	55925
李承恩	55926
李复	55927
曹雪阳	55928
长孙忘情	55929
燕忆眉	55930
李无衣	55931
表现控制	55932
天策前锋士兵	55933
苍云前锋士兵	55934
李斩鸿	55935
邵荆	55936
李复	55937
李承恩	55938
曹雪阳	55939
长孙忘情	55940
李无衣	55941
燕忆眉	55942
天策前锋士兵	55943
苍云前锋士兵	55944
黑齿元佑宝箱	55945
狼牙守卫	55946
天策弓箭手	55947
尸人	55948
蛞蝓	55950
蛞蝓	55951
宝箱	55954
上阳宫禁卫	55964
