Name	RepresentID
田布戈	42556
巡逻军	42557
暗杀者	42558
火龙摧城	42561
火龙机雷	42566
火墙机关	42568
牛廷玠	42574
呼延啸云	42575
城墙防守战总控	42576
狼牙投石车	42577
飞石	42578
狼牙攻城兵	42579
狼牙攻城校尉	42580
狼牙军鼓手	42581
新建数据7	42582
新建数据8	42583
新建数据9	42584
新建数据10	42585
新建数据1	42586
新建数据2	42587
新建数据3	42588
新建数据4	42589
新建数据5	42590
新建数据6	42591
新建数据7	42592
新建数据8	42593
新建数据9	42594
新建数据10	42595
太原城守军	42597
太原城守军	42599
太原城守军	42601
太原城守军	42602
太原城守军指挥官	42604
太原城守军指挥官	42605
太原城守军	42606
太原城守军	42607
太原城守军	42608
太原城守军	42609
太原城守军	42610
太原城守军	42611
P001受伤	42613
P001受伤	42614
P008受伤	42617
长孙忘情	42618
银甲将军	42619
苍云士兵	42620
唐军士兵	42621
苍云士兵	42622
狼牙攻城车	42623
狼牙士兵	42624
狼牙突攻城先锋	42631
狼牙爆破兵	42632
火	42633
百姓	42667
投石车	42670
唐军士兵	42672
唐军2	42673
唐军队长	42674
箭弩台	42675
狼牙伤兵	42687
狼牙伤兵	42688
狼牙伤兵	42689
狼牙伤兵	42690
P012受伤	42691
P012受伤	42692
P012受伤	42695
狼牙投石车	42697
狼牙弩车	42698
狼牙爆破兵	42699
 	42700
狼牙攻城兵	42701
狼牙攻城队长	42702
狼牙攻城兵	42703
狼牙攻城兵	42704
张守忠	42706
太原城守军	42707
太原城守军	42708
1号火焰表现用	42712
1号小火表现用	42713
1号黑烟表现用	42714
狼牙攻城兵	42719
火炮	42721
狼牙弓箭手控制	42722
狼牙弓箭手	42728
狼牙号角手	42730
太原城守军	42732
狼牙攻城先锋	42736
狼牙先锋兵	42737
狼牙先锋兵	42738
可木汗	42739
陆晓风	42744
烽火	42745
爬墙狼牙兵	42746
狼牙兵攻城先锋	42747
狼牙攻城先锋	42750
狼牙攻城先锋	42751
狼牙攻城先锋	42752
狼牙攻城队长	42756
图拔	42757
雷厉	42761
李忠国	42762
杨文虎	42763
王蒙	42764
冯熙范	42765
卢安来	42766
状态机注册辅助NPC	42778
狼牙攻城先锋	42781
战利品	42851
军需物资	43158
叶鸦	43163
