Name	RepresentID
凤息颜	47962
凤息颜	47964
赵宫商	47965
刺客聂政	47966
无名剑	47967
残志光球 	47968
2号总控	47969
驱散控制	47970
长歌门杂役	47971
偷袭判断npc	47972
无名剑控制	47974
月侍弓	47975
战斗监控	47976
夏雨荷	47977
飞剑回收	47978
3号总控	47980
3号流程控制	47981
受伤的弟子	47984
巡逻守卫	47985
周书畅	47986
看门弟子	47987
救护弟子	47988
护卫	47989
蒙面人	47990
蒙面人	48040
月侍弓残像	47994
3号空模	47995
巡逻守卫	47998
巡逻护院	47999
长歌门弟子	48000
长歌门弟子	48001
看门弟子	48008
试炼弟子	48009
山寨防护罩	48010
赵宫商的赠礼	48011
3号战斗流程控制	48012
长歌弟子	48013
蒙面人	48016
张九龄	48017
读书弟子	48018
舞剑弟子	48019
受惊的鹿	48020
受惊的鹿	48021
受惊的鹿	48022
长歌门护院	48023
长歌门护院	48024
赵池儿	48025
杨尹安	48026
读书弟子	48027
舞剑弟子	48028
守卫弟子	48029
花无痕	48030
夏晓煦	48031
凤息颜的赠礼	48034
长歌门教习	48036
长歌门教习	48037
长歌门守卫	48038
高阶弟子	48039
蒙面人	48040
夏晓煦	48042
李守礼	48045
长歌门小橙武控制	48046
陈怡东	48047
夏千峰	48048
老师2	48052
血迹	48053
血迹	48054
宝箱	71431
