Name	RepresentID
黑齿元佑	38602
高俊	38603
滚石	38604
狼牙冲锋兵	38605
狼牙冲锋兵	38606
狼牙冲锋兵	38607
喷火狼牙兵	38608
燃烧	38609
燃烧	37686
攻门车	38610
箭弩车	38611
狼牙指挥官	38612
狼牙冲锋兵	38613
狼牙喷火兵	38614
界面控制	38615
天策搬运兵	38616
天策弓兵	38617
天策弓兵	37689
狼牙弓兵	38618
沙叱博	38619
天策士兵	38620
天策士兵	37709
狼牙骑兵	38621
狼牙士兵	38622
箭雨	38623
曹炎烈	38624
曹雪阳	38625
大关卡开启控制	38626
西北刷怪控制	38627
东北刷怪控制	38628
西南刷怪控制	38629
东南刷怪控制	38630
南方刷怪控制	38631
狼牙空降兵	38632
狼牙空降兵精英	38633
狼牙空降兵首领	38634
阿史那从礼	38635
小七	38636
箭弩车	38637
靛云	38638
空连湮标记圈	38639
受蛊惑的天策士兵	38640
金龙渊·羽	38641
蓝语涟·羽	38642
鸢戾天·羽	38643
小七	38644
持盾狼牙兵（后方表现）	38645
狼牙持盾兵	38646
箭弩车	38647
喷火狼牙兵	38648
狼牙工兵	38649
地雷	38650
狼牙持盾兵	38651
狼牙持盾兵	38652
沙叱博	38653
蓝语涟	38654
鸢戾天	38655
金龙渊	38656
圣狼灵	38657
喷火狼牙兵	38658
喷火狼牙兵	38659
天策探雷教官	38660
地雷	38661
地雷	38662
冲锋骑兵	38663
狼	38958
血	38665
燃烧	38666
滚石	38667
狼牙轻功兵	38668
狼牙轻功兵	38669
箭弩器械	38670
投石车	38671
狼牙潜行者	38672
狼牙潜行者	38673
狼牙潜行者	38674
狼牙大汉	38675
草丛	38676
帐篷1	38677
帐篷2	38678
帐篷3	38679
帐篷4	38680
狼牙藤甲兵	38681
狼牙藤甲兵	38682
火油罐	38683
燃烧的火油	38684
狼牙藤甲兵（表现）	38685
天策士兵	38686
冲锋骑兵总控	38687
苏曼莎	38968
令狐伤	38969
狼牙精英弓部	38971
狼牙精英斥候	38972
断罪舞者	38973
狼牙进击猛士	38693
木桶	38694
安庆绪	38975
山狼总控	38696
杨宁	38976
狂狼士兵	38698
雷狼之血	38699
天策将士	38700
天策先锋校尉	38701
天策先锋队正	38702
马功	38703
天策伤兵	38704
天策伤兵	38044
天策伤兵	38046
天策工兵	38705
宝箱	38706
阿雪	38707
狼牙射手	38708
狼牙巫医	38709
黑齿巫师	38710
曹炎烈	38711
黑齿卫士	38712
黑齿祭司	38713
黑齿暗影	38714
腐骨	38715
狼牙轻功兵	38716
狼牙轻功兵	38717
狼牙轻功兵	38718
战八方技能控制	38719
梅花三弄技能控制	38720
追命箭技能控制	38721
追命箭矢	38722
旋风武器	38723
旋风武器	38561
黑暗治愈虚拟体	38724
献祭虚拟体	38725
献祭虚拟体	38236
四灵·术	38726
四灵·力	38727
四灵·光	38728
四灵·暗	38729
天策盾兵	38730
天策枪兵	38731
天策物资兵	38732
秦颐岩	38733
秦颐岩	38556
李承恩	38734
天策战马	38735
天策重甲护卫	38736
狼牙潜行者（表现）	38737
狼牙大汉（表现）	38738
狼牙冲锋弓兵	38739
骑马狼牙兵	38740
投石车	38741
席庶云	38742
投石车巨石	38743
爆裂	38744
怒吼控制	38745
朱剑秋	38746
天策士兵	38747
沉甸甸的宝箱	38748
鬼魅	38749
鬼魅	38318
幻真·幻	38750
幻真·真	38751
狼牙士兵	38752
狼牙巡逻兵	38753
狼牙斥候	38754
狼牙哨兵	38755
狼牙盾兵	38756
狼牙死士	38757
狼牙射手	38758
狼牙先锋军	38759
天策射手	38267
天策补给兵	38761
天策士兵	38762
月	38763
转阶段控制	38764
小旋风	38765
白云	38766
黑云	38767
大旋风	38768
追魂戟真气	38769
马上雷狼	38770
追魂戟曹雪阳血量控制	38771
狼牙刀锋	38772
小路石板	38773
山狼的宝箱	38774
降落伞	38775
辎重营队正	38776
辎重营枪卫	38777
辎重营伙夫	38778
奔雷营弓箭手	38779
奔雷营火器兵	38780
奔雷营突击兵	38781
狼牙斥候	38782
火焰表现	38783
天策斥候	38784
粮草堆	38785
狼牙射手	38786
焦油桶	38787
平地雷	38788
重弩	38789
狼牙哨位	38790
袖星流刃	38791
青蝉千丝	38792
冰雨寒息	38793
寒毒鲨齿	38794
寒玉冬舞	38795
钱万贤	38796
狼牙大旗	38797
狼牙哨兵	38798
狼牙工兵	38799
炮台	38800
狼牙刀兵	38801
狼牙枪卫	38802
狼牙援兵	38803
炮弹	38804
炮弹	38549
炮弹	38901
炮弹落点	38805
计算落点专用	38806
狼牙轻功兵	38807
爆炸灼烧	38808
邪心毒	38809
夜	38810
剑蛇刺	38811
小七保护罩	38812
万文石	38813
齐元龙	38814
杜阳成	38815
崔德元	38816
刘正祥	38817
天策战俘	38818
狼牙守卫军	38819
狼牙步兵援军	38820
狼牙弓箭兵援军	38821
霹雳弹	38822
重弩	38823
喷火狼牙兵	38824
雷狼	38825
被魅惑的阴影	38826
捕兽夹	38827
动物	38828
水潭	38829
金蛇剑风	38977
滚石	38831
令狐伤	38978
令狐伤	38979
地龙剑吼	38980
令狐伤	38981
许巍	38836
天策宝箱	38837
天策侦查兵	38838
狼牙巡逻兵	38839
狼牙大营卫兵	38840
火烧联营控制	38841
水桶	38842
盘蛇剑影	38982
天策战马	38844
斩马刀	38845
破釜沉舟	38846
关卡总控	38847
天策骑兵	38848
王大石	38849
王大石表现	38850
狼牙军官	38851
剧情总控	38852
狼牙虎盾兵	38853
漠北刀客	38854
狼牙长枪兵	38855
狼牙神射手	38856
刘梦阳	38857
刘梦阳	38521
钱万贤	38858
断罪冥花	38859
钱万贤AOE辅助	38860
黄克武	38861
金灿灿的宝箱	38862
狼牙大营卫兵	38863
狼牙大营卫兵	38864
刘梦阳	38865
狼牙炮弹	38866
烈焰	38867
黑齿祭司	38868
黑齿卫士	38869
黑齿巫师	38870
天策俘虏	38871
夜	38872
旋转气流	38873
小龙卷风	38892
豆豆	38893
救火援兵	38930
雷狼护卫队	38896
暗影之魅	38902
狼牙巫医	38918
火墙	38934
令狐伤	38937
熊	38945
天策物资箱	38999
天策军资箱	39000
宝箱	38948
羊肉	38956
朱剑秋	38954
狼	38959
羊	38957
空降兵军官	38961
狼牙勇士先锋	38964
雷狼随从	38986
狼牙勇士先锋	39070
狼牙无情猎手	39073
