Name	RepresentID
左纱夫人	48620
商会人质	48621
商会人质	48622
屈焰阳	48623
龙图刺客	48624
李白	48625
公治菱	48626
杨喃	48627
林海	48628
龙图箭卫	48629
李璘	48630
屈焰阳总控	48631
屈焰阳阶段控制	48632
莫蕾	48633
谢云流	48634
李玚	48635
李玚	48636
龙图哨兵	48637
苏十三娘	48638
剑墙	48639
屈焰阳技能控制	48640
屈焰阳灭团控制	48641
龙图什长	48642
卫栖梧	48643
卫封丘	48644
森九岚	48645
龙图什长	48647
龙图卫兵	48648
胡善丘	48649
飞花之刃	48650
屈焰阳BUFF删除	48651
宝箱	48652
飞花蝶舞	48653
八荒阵眼	48654
屈焰阳小怪召唤控制	48659
龙图步兵	48661
龙图什长	48662
周大娘	48669
龙图队正	48670
反叛伙长	48671
三环锡杖	48672
仲虚念	48673
仲虚念	48674
龙图伙长	48675
赵夫人	48678
文君剑牢	48679
相如剑牢	48680
龙图军士	48682
龙图卫兵	48683
一刀流武士	48882
王根深	48685
赵楠贵	48689
陆啸天	48690
一刀流高手	48691
小宫女	48692
弩手队副监控	48696
屈焰阳	48697
方广川	48698
蔺兰婧	48699
宝箱	48701
周墨侍卫	48702
紫金钵	48704
刘侍妾	48705
赵夫人	48706
士兵 	48709
士兵 	48710
张俊逸	48712
卢海	48723
刘文曲	48724
张嬷嬷	48727
王侍妾	48728
其他备用	48729
刀盾卫	48730
何壁敷	48731
王澤渝	48732
剑卫	48733
斧卫	48734
藤原康成	48735
大河志乃	48736
一鼓作气	48738
一鼓作气	48739
一鼓作气	48740
古定音	48741
张冬恩	48742
上官尚宫	48743
高尚食	48744
士兵 	48745
曹梦舟	48747
白丽君	48748
扫洒仆役	48749
宫女	48750
穆晓燕	48751
宝箱	48752
陈镜儒	48753
郑羽焯	48754
弩卫	48755
周墨	48756
龙图精锐	48759
龙图忠军	48760
薛山石	48761
阎纹陲	48762
屈焰阳炮击控制(挑战)	48763
屈焰阳弓箭手召唤控制	48764
反叛军士	48766
李白	48767
常威	48768
屈焰阳	48771
龙图精锐	48773
龙图队正	48774
赵楠贵	48775
张木佳	48776
赵楠贵	48779
十三娘气场	48781
游荡的咸鱼	48782
日本艺伎	48783
反叛队正	48785
反叛精锐	48786
薛山石	48787
张冬恩	48788
徐敬年	48789
龙图哨岗	48790
王澤渝	48791
陈镜儒	48792
郑羽焯	48795
古定音	48796
血迹	48797
血迹	48798
张关毅	48800
裂开的土地	49628
常威	48801
张木佳	48802
定点打击控制（挑战）	48803
屈焰阳	48804
屈焰阳	48805
徐敬年	48806
于嵩贺	48807
竺衣晨	48808
伊业浩	48809
李玚	48812
李白	48813
李白	49616
刀盾卫队副	48814
剑卫队副	48815
斧卫队副	48816
弩卫队副	48817
龙图军士	48818
永王死士	48819
祝白浪	48824
