Name	RepresentID
餐风	4915
惩戒僧	4190
惩戒僧	4209
雌蛛	4723
癫狂囚犯	4558
癫狂囚犯	4196
疯狂的囚犯	4197
疯狂的囚犯	4557
佛塔偷油鼠	3867
伏击武僧	3892
花斑幼蛛	3894
迦兰罗汉	3893
迦兰罗汉	3909
迦兰武僧	3884
迦兰武僧	3888
迦兰武僧	3889
迦兰武僧头目	4503
戒律僧·寒冰	3885
戒律僧·邪水	3885
戒律僧·炎火	3933
苦行僧	3878
燎原	4758
老练战狼	4195
烈焰机关	3877
烈焰机关	3879
明慧僧	3886
木人	4193
平等	5698
沙弥	4191
诵经僧	3887
天竺僧头目	3874
吞云	4913
王海银	5697
武煌卫白耳刀兵	3638
武煌卫步伍	3632
武煌卫步伍	3633
武煌卫典狱长	3623
武煌卫精锐锤兵	3646
武煌卫精锐斧兵	3625
武煌卫精锐斧兵	4560
武煌卫精锐斧兵	4563
武煌卫伍长	3634
武煌卫陷阵甲兵	3623
武煌卫新兵	3629
武煌卫新兵	4562
武煌卫玄铁甲兵	3623
武煌卫玄铁甲兵	3631
炎火僧	3907
炎明僧	4231
炎明僧	4290
饮火	4914
狱卒	3872
狱卒	3910
战熊	4192
掌火	850
镇恶	3935
朱癸	6063
天竺魔僧	5650
英雄1号BOSS总控	4496
YX1号BOSS总控	4496
YX3号BOSS总控	4496
YX2号BOSS总控	4496
YX4号BOSS总控	4496
YX5号BOSS总控	4496
YX6号BOSS总控	4496
前厅标记用	4206
yx冰火标记	4493
yx机关总控	4496
yx炎火杀怪总控	4496
yx16总控2	4494
智慧	3917
智慧	3923
YX藏经杀怪总控	4496
古老的箱子	5999
风龙卷	6085
烈焰	6107
烈焰	6107
门总控	4494
扫地僧	1714
幻象	6153
祭奠僧	3887
迦兰	5650
英雄战宝7号总控	4496
英雄战宝7号BUFF控制	4496
自爆甲人	6713
千手观音沉默	4496
不稳定的机雷	6678
英雄战宝7号机雷控制	4496
千手观音	6646
英雄战宝7号机甲人控制	4496
英雄战宝7号禁锢咒控制	4496
无我	6656
无相	6657
英雄战宝7号狂暴计时	4496
炽热烈炎	6711
千手观音	6712
新建(无用）	6714
古老的箱子	5999
古老的宝箱	5999
