Name	RepresentID
卓力格图	36273
卓力格图	34645
澹台枯火	36274
闻人彦范	36275
岳承志	36277
破城锤	36278
骨牢	36279
武库守卫	36280
神策叛军	36281
武库守卫	36282
狼牙刀士	36283
狼牙枪卫	36284
狼牙骑兵	36285
狼牙铁盾卫	36286
狼牙长弓手	36287
炎狼骑卫	36288
狼牙巨斧手	36289
狼牙山棘兵	36290
盟军刀客	36291
盟军枪卫	36292
盟军骑卫	36293
盟军铁甲卫	36294
盟军掷枪手	36295
盟军弩车	36296
盟军横刀侍	36297
盟军龙枪卫	36298
盟军骠骑卫	36299
盟军虎贲卫	36300
盟军长戟卫	36301
盟军骁骑卫	36302
军情探子	36303
新兵教官	36304
联军军师	36305
军需后勤官	36306
联军统领	36307
军阵阵型记录NPC	36308
敌军刷新总控	36309
攻城车	36310
联军守卫	36311
虞光	36312
萧沙	33752
韦柔丝	36314
神策铁骑卫 	36315
乌鸦	36316
狼牙勇士	36317
王遗风	36318
武库守卫	36319
武库守卫官	36320
龙相气劲	36321
沙啸风	36322
龙血玉	36323
炎点	36324
老鼠	36325
猫	36326
刺	36327
炎龙弹	36328
穆玄英	36329
宝箱	36330
