Name	RepresentID
莫雨	44666
莫雨总控	36530
技能控制	36530
阶段控制	36530
毛毛	44667
可人	44668
宝箱	45231
黄泉绝影	44669
小怪控制	45067
面向控制	36530
知心火	44711
知心火控制	36530
黄泉绝影	44669
冲锋目标	36530
李白	44755
李白总控	36530
技能控制	36530
阶段控制	36530
青莲子剑	44756
青莲子剑	44840
多多	44757
剑气旋涡	44758
青莲子剑	44840
青莲子剑掉落控制	36530
宝箱	45231
祝白浪	45256
云飞	45257
源七熏	45258
韩非池	46278
韩非池战斗总控	46279
韩非池范围总控	46280
幻魔	46281
音缠	46282
韩非池·幻	46283
柳五爷	46472
源明雅	46473
龙图卫将领	46474
龙图卫	46475
权仲天	46476
明平海	46477
明玉儿	46478
反叛幕僚	46487
龙图乱军	46488
龙图余党	46489
龙图什长	46490
薛石	46491
龙图卫	46492
龙图文官	46493
宫女	46480
伙房仆役	46481
宫女	46482
逃难宫女	46483
多多	46484
卫岚	46485
李向阳	46652
韩非池的馈赠	47385
刘文曲	47517
逃难宫女	47679
幻魔附体	47736
蒋侧妃	47868
李菲灵	47866
秋菊	47867
