Name	RepresentID
卓力格图	34305
卓力格图	34645
澹台枯火	34306
闻人彦范	34307
岳承志	34309
破城锤	34697
骨牢	34698
武库守卫	34354
神策叛军	34398
武库守卫	34355
狼牙刀士	33911
狼牙枪卫	33912
狼牙骑兵	33913
狼牙铁盾卫	33914
狼牙长弓手	33915
炎狼骑卫	33916
狼牙巨斧手	33917
狼牙山棘兵	33918
盟军刀客	33920
盟军枪卫	33921
盟军骑卫	33922
盟军铁甲卫	33923
盟军掷枪手	33924
盟军弩车	33925
盟军横刀侍	33927
盟军龙枪卫	33928
盟军骠骑卫	33932
盟军虎贲卫	33929
盟军长戟卫	33931
盟军骁骑卫	33933
军情探子	34045
新兵教官	34046
联军军师	34044
军需后勤官	34047
联军统领	34301
军阵阵型记录NPC	33962
敌军刷新总控	33961
攻城车	34446
联军守卫	34452
虞光	35984
萧沙	33752
韦柔丝	33999
神策铁骑卫 	33919
乌鸦	34001
狼牙勇士	34003
王遗风	35979
武库守卫	34356
武库守卫官	34357
龙相气劲	34598
沙啸风	34599
龙血玉	34616
炎点	34622
老鼠	35919
猫	34689
刺	34721
炎龙弹	34724
穆玄英	34732
宝箱	35946
战斗位置标记	37122
狼牙百夫长	37123
狼牙百夫长	37124
