Name	RepresentID
地刺	37661
天枪	37876
牛介平	37855
铜锤	37910
火焰	37961
火焰铜锤	37912
火焰箭矢	37990
狼牙骑兵	34970
狼牙枪兵	38148
狼牙弓兵	38159
骑兵队长	38161
枪兵队长	38162
地刺	38899
箭弩臂	38202
弩箭	38203
地雷	38191
地雷	38191
地雷	38191
地雷	38191
地雷	38191
地雷	38191
地雷	38191
地雷	38191
落石	38193
酒壶	38373
肉夹馍	38374
骰子	38372
范围总控	37888
战斗总控	37889
范围总控1	37890
安守忠	37892
安守忠	38207
战斗总控	37893
范围总控	37894
阿史那承庆	37909
火焰	37963
战斗总控	37988
范围总控	37989
毁灭地刺	38201
战斗总控	38222
范围总控	38224
恶狼	38226
箭手	38227
铁盾臂	38240
投石臂	38241
箭弩臂	38242
尖刺臂	38243
投手	38249
刺手	38250
盾手	38251
苍云军客卿	38252
狼牙神射手	38253
贪吃的狼牙兵	38254
嗜酒的狼牙兵	38255
好赌的狼牙兵	38256
狼牙盾兵	38257
狼牙枪兵	38258
狼牙操纵者	38259
狼牙枪兵	38148
赌桌	38314
箭塔守卫	38330
狼牙城防兵	38355
狼牙城防兵	38551
义军校尉	38356
义军先锋军	38357
义军军士	38358
义军军士	38364
义军军士	38359
义军军士	38365
苏栈	38361
慕容听风	38362
石柒	38363
义军骑兵	38366
义军战马	38367
义军战马	38368
狼牙侩子手	38383
义军射生	38384
恶狼核心	38385
安守忠宝箱	38454
天狼宝箱	38453
恶狼宝箱	38452
唐秋白	38436
阮保	38565
义军杂货商	38567
苍云军校尉	38356
苍云军护卫	38357
苍云军士	38358
苍云军士	38364
义军先锋军	38876
义军先锋军	38889
义军哨卫	38888
贪吃的狼牙兵	38254
嗜酒的狼牙兵	38255
好赌的狼牙兵	38256
