Name	RepresentID
七秀弟子1	26774
黑骑士先锋	26773
天一先锋军	26782
天一女侍卫	26783
玉蟾突击首领	26786
天一护卫	26785
天一密探	26822
天策府铁牢营精锐	26787
叶镶	26797
纯阳宫弟子	26789
叶岚风	26797
纯阳明道堂弟子	26798
天策弟子	26799
万花弟子	26800
万花画圣弟子	26801
七秀坊楚秀弟子	26802
七秀坊昭秀弟子	26803
五毒弟子	26804
蓝小凤	26805
唐门力堂弟子	26806
唐昭	26816
慧辛	26807
慧智	26808
藏剑洗心堂弟子	26809
纯阳弟子	26810
七秀弟子	26811
天策府上陵卫	26812
万花药部弟子	26813
五毒圣蝎弟子	26814
天策情报兵_未用	26818
天一毒将	26823
天一刺客	26824
天一执法长老	26825
天一随从	26833
天一随从	26834
天一不死傀儡	26842
刚烈傀儡	26843
天一刺客	26844
五毒风蜈弟子	26804
施妙心	26798
唐门弟子	26806
苏南笙	26800
程樱	26802
陆寻	26886
杨凌	26787
表现1总控	26909
慕容烛	26789
叶霜	26809
表现2总控	26909
万花药部弟子	26813
天一狂尸	26951
上官博玉	2535
谢云流	6331
碎星辰	6335
凌太虚	6336
渡法	26385
醉蛛老人	26226
天蛛暗杀者	26380
天蛛巨尸	26378
天蛛卫士	26051
表现3总控	26909
天一密探	27067
苏雨鸾	27072
萧白胭	27073
天策探风人	27102
蟾女水儿	27075
密探2总控	27217
道惜	27091
受伤的藏剑弟子	27093
受伤的纯阳弟子	27094
受伤的七秀弟子	27095
受伤的唐门弟子	27096
受伤的天策弟子	27097
受伤的万花弟子	27098
受伤的五毒弟子	27099
受伤的少林弟子	27100
密探1总控	27112
喊话NPC总控	27125
韩知秋	27142
天策弟子	27147
藏剑弟子	27148
纯阳弟子	27149
少林弟子	27159
藏剑弟子	27178
少林弟子	27179
五毒弟子	27180
万花弟子	27181
