Name	RepresentID
新建数据1	39224
新建数据2	39225
苦役	39226
苦役	39537
苦役	39538
新建数据4	39227
新建数据5	39228
新建数据6	39229
恶人谷大将	39230
新建数据8	39231
新建数据9	39232
新建数据10	39233
狼牙翼卫	39337
狼牙翼卫	39389
恶人谷禁卫	39332
新建数据13	39236
新建数据15	39238
新建数据16	39239
新建数据17	39240
新建数据18	39241
浩气盟大将	39674
新建数据20	39243
恶人谷翼卫	39331
浩气盟翼卫	39579
浩气盟禁卫	39578
也斤沙赫	39244
阿努什加	39245
摩诃塔乞	39246
穆纳尔	39243
米谧奇	39240
何黑格赤	39241
火寻库姆	39242
伊本斯曼	39247
安息珍	39252
尉迟月	39253
呼延尼尼	39254
萨珊合敦	39251
希瓦察哈	39248
乌额蒙	39249
库都札兰	39250
哈懿玛	39233
哈贾余	39234
哈波伊	39231
哈尼斯	39232
康双韦	39235
石破奴	39238
史世高	39239
安穆克	39236
曹江方	39237
据点大旗	39277
狼牙禁卫	39304
狼牙禁卫	39372
狼牙禁卫	39373
狼牙禁卫	39393
狼牙禁卫	39394
狼牙禁卫	39395
镖车	39324
据点总管	39334
江湖侠客	39348
丐帮弟子	39349
长歌门人	39350
阳宝哥	39351
阿诛	39352
狼牙禁卫-喝酒	39372
狼牙禁卫-打靶	39373
巡逻兵-狼	39433
巡逻兵-狼	39535
狼牙巡逻兵	39378
狼牙巡逻兵	39536
狼牙驯狼	39381
狼牙翼兵-射箭	39389
狼牙禁卫-庄家	39393
狼牙禁卫-赌徒	39394
议论总控	39407
狼牙禁卫-赌徒2	39395
据点守将模板	39413
江湖刺客	40065
新建数据1	39446
新建数据2	39447
新建数据3	39448
新建数据4	39449
新建数据5	39450
江湖盗宝贼	39451
江湖探子	39452
莫雨	39640
新建数据9	39454
新建数据10	39455
火眼白蹄	39456
新建数据12	39457
浩气盟督羽卫	39458
恶人谷督羽卫	39459
浩气盟神翼卫	39460
恶人谷神翼卫	39461
恶人谷刹禁卫	39462
浩气盟督廷卫	39463
新建数据19	39464
新建数据20	39465
新建数据21	39466
浩气盟刹禁卫	39467
新建数据23	39468
新建数据24	39469
新建数据25	39470
据点伙计	39471
新建数据27	39472
表现调整	39473
新建数据29	39474
新建数据30	39475
新建数据31	39476
新建数据32	39477
新建数据33	39478
恶人谷工兵	39479
浩气盟骑兵	39480
浩气盟工兵	39481
新建数据37	39482
新建数据38	39483
恶人谷骑兵	39484
新建数据40	39485
新建数据41	39486
丛纹暗雪	39487
新建数据43	39488
新建数据44	39489
新建数据45	39490
新建数据46	39491
新建数据47	39492
新建数据48	39493
新建数据49	39494
新建数据50	39495
穆玄英	39671
新建数据52	39497
浩气盟骑兵（单独人）	39531
恶人谷骑兵（单独人）	39532
苦役	39537
苦役	39538
浩气盟货郎	39543
恶人谷货郎	39542
神秘小头目	39572
神秘小头目	39571
骑兵	39576
恶人谷督廷卫	39577
阵营工匠	39592
阵营瓦匠	39593
狼牙校尉	39596
恶人谷校尉	39597
浩气盟校尉	39598
浩气盟镖车	39599
浩气盟护卫	39600
恶人谷镖车	39601
恶人谷护卫	39602
空模A021	39622
宇文泽	39625
诸葛清	39627
神秘士兵	39632
行脚商	39669
行脚商	39669
行脚商	39669
行脚商	39669
行脚商	39669
行脚商	39669
行脚商	39669
行脚商	39669
行脚商	39669
行脚商	39669
行脚商	39669
行脚商	39669
行脚商	39669
行脚商	39669
据点任务	39675
遗失的货物	39678
据点总管	39980
据点总管	39981
凛风堡	40018
武王城	40019
龙门镇	40020
飞沙关	40021
世外坡	40022
扶风郡	40023
神池岭	40024
烈日岗	40025
惊虬谷	40026
凤鸣堡	40027
啖杏林	40028
枫湖寨	40029
不空关	40030
激流坞	40031
卧龙坡	40032
日月崖	40033
霜戈堡	40034
澜沧城	40035
金门关	40036
青云坞	40037
秋雨堡	40038
红莲岗	40039
盘龙坞	40040
逐鹿坪	40041
大理山城	40042
千岩关	40043
行脚商	39669
行脚商	39669
洛阳·辎重	40117
莫丁	40116
莫白	40126
莫云	40128
库瓦察姆	40130
